jenis_kelamin,umur,jml_pinjaman,jkw,jml_angsuran_per_bulan,type_pinjaman,jenis_pinjaman,bi_sektor_ekonomi,col,bi_golongan_debitur,bi_gol_penjamin,saldo_nominatif,tunggakan_pokok,tunggakan_bunga,status kredit
1,40.0,345000.0,1.0,345000.0,100,301,6000.0,1,874,875,345000.0,345000.0,0.0,MACET
0,31.0,350000.0,7.0,55716.0,100,301,6000.0,1,874,875,390000.0,111428.0,0.0,MACET
1,34.0,3055499.0,8.0,381937.41,100,301,6000.0,1,874,875,3055499.0,1527749.48,0.0,MACET
0,27.0,4435001.0,8.0,671098.0,100,301,6000.0,1,874,875,4435001.0,0.0,0.0,LANCAR
0,49.0,1443750.0,15.0,107800.0,100,301,6000.0,1,874,875,1617000.0,1078000.0,0.0,MACET
0,42.0,3066000.0,10.0,351670.0,100,301,6000.0,1,874,875,3066000.0,613200.0,90140.0,MACET
0,26.0,4071669.0,20.0,203583.45,100,301,6000.0,1,874,875,3671669.0,1228667.6,0.0,MACET
0,55.0,840000.0,4.0,60000.0,100,301,6000.0,1,874,875,240000.0,240000.0,0.0,MACET
0,38.0,3000000.0,24.0,147500.0,100,301,6000.0,1,874,0,2500000.0,875000.0,157500.0,MACET
0,41.0,930000.01,4.0,45000.01,100,301,6000.0,1,874,0,180000.01,180000.01,0.0,MACET
0,26.0,2000000.0,20.0,115000.0,100,301,6000.0,1,874,0,1800000.0,700000.0,105000.0,MACET
0,35.0,1000000.0,12.0,98333.37,100,301,6000.0,1,874,875,810000.0,643333.3,105000.0,MACET
1,49.0,4000000.0,24.0,81944.25,100,301,6000.0,1,874,875,742662.0,0.0,0.0,LANCAR
1,2.0,775811.0,12.0,64650.99,100,301,6000.0,1,874,875,775811.0,129301.82,0.0,MACET
1,42.0,860000.0,8.0,88607.16,100,301,6000.0,1,874,875,708857.0,708857.0,0.0,MACET
1,49.0,270000.0,6.0,45000.0,100,301,6000.0,1,874,875,270000.0,90000.0,0.0,MACET
0,39.0,583335.0,12.0,52986.25,100,301,6000.0,1,874,875,635835.0,529862.5,0.0,MACET
0,26.0,506835.0,12.0,45986.25,100,301,6000.0,1,874,875,551835.0,459862.5,0.0,MACET
0,50.0,1500000.0,8.0,192082.53,100,301,9990.0,1,874,875,1536657.37,1536657.37,0.0,MACET
1,42.0,185169.0,8.0,25021.16,100,301,6000.0,1,874,875,200169.0,200169.0,0.0,MACET
0,57.0,486000.0,8.0,60750.0,100,301,6000.0,1,874,875,486000.0,486000.0,0.0,MACET
0,36.0,666667.0,6.0,115611.2,100,301,6000.0,1,874,875,693667.0,231222.32,0.0,MACET
1,58.0,90000.0,5.0,18000.0,100,301,6000.0,1,874,875,90000.0,36000.0,0.0,MACET
0,41.0,10550000.0,12.0,1160416.74,100,301,6000.0,1,874,875,332500.0,0.0,0.0,LANCAR
0,35.0,1000000.0,6.0,181666.7,100,301,6000.0,1,874,875,1090000.0,363333.32,0.0,MACET
1,43.0,28950000.0,141.0,299114.98,100,301,6000.0,1,874,875,27399322.0,0.0,0.0,LANCAR
1,49.0,535835.0,12.0,44652.99,100,301,6000.0,1,874,875,535835.0,446529.1,0.0,MACET
0,36.0,6933332.0,12.0,444444.37,100,301,6000.0,1,874,875,6433332.0,3944443.3,0.0,MACET
1,44.0,1116263.0,20.0,55813.15,100,301,6000.0,1,874,875,945263.0,387131.5,0.0,MACET
1,52.0,610000.0,6.0,106666.7,100,301,6000.0,1,874,875,640000.0,213333.32,0.0,MACET
0,31.0,1820000.0,10.0,182000.0,100,301,6000.0,1,874,875,1585000.0,0.0,0.0,LANCAR
1,35.0,1458339.0,8.0,218750.68,100,301,6000.0,1,874,875,1750005.02,1750005.02,0.0,MACET
1,36.0,495000.0,12.0,43725.0,100,301,6000.0,1,874,875,524700.0,437250.0,0.0,MACET
0,46.0,4000000.0,24.0,233333.41,100,301,6000.0,1,874,875,5500000.0,2233333.3,0.0,MACET
1,41.0,2040000.0,12.0,229500.0,100,301,6000.0,1,874,875,2754000.0,2295000.0,0.0,MACET
0,28.0,1430666.0,12.0,119222.24,100,301,6000.0,1,874,875,1430666.0,1192221.6,0.0,MACET
1,31.0,187500.0,5.0,45500.0,100,301,6000.0,1,874,875,227500.0,403500.0,0.0,MACET
1,55.0,1060000.0,12.0,108333.37,100,301,6000.0,1,874,875,947000.0,770333.3,80000.0,MACET
1,42.0,1400000.0,12.0,116666.74,100,301,6000.0,1,874,800,915000.0,564999.94,0.0,MACET
0,41.0,1376666.7,10.0,137666.7,100,301,6000.0,1,874,0,1046666.7,909000.3,0.0,MACET
0,44.0,145000.0,5.0,29000.0,100,301,6000.0,1,874,0,145000.0,58000.0,0.0,MACET
1,42.0,124000.0,5.0,24800.0,100,301,6000.0,1,874,0,124000.0,49600.0,0.0,MACET
1,36.0,603750.0,7.0,120750.0,100,301,6000.0,1,874,0,603750.0,172500.0,0.0,MACET
1,31.0,200000.0,2.0,19000.0,100,301,9990.0,1,874,874,38000.0,38000.0,0.0,MACET
1,43.0,543833.42,5.0,108767.02,100,301,6000.0,1,874,0,193833.42,85066.4,0.0,MACET
1,47.0,1680000.0,4.0,510000.0,100,301,6000.0,1,874,0,1680000.0,840000.0,180000.0,MACET
0,32.0,3000000.0,3.0,465000.0,100,301,6000.0,1,874,0,1125000.0,1125000.0,270000.0,MACET
0,46.0,1333333.34,4.0,393333.59,100,301,6000.0,1,874,0,1333333.34,666666.5,120000.0,MACET
1,40.0,1086000.0,20.0,54300.0,100,301,6000.0,1,874,0,1086000.0,651600.0,0.0,MACET
0,56.0,653333.34,9.0,60926.77,100,301,6000.0,1,874,0,490740.79,490740.79,57595.61,MACET
0,48.0,900000.0,3.0,345000.0,100,301,6000.0,1,874,0,900000.0,600000.0,90000.0,MACET
1,41.0,666666.68,10.0,72666.7,100,301,6000.0,1,874,0,666666.68,666666.68,60000.0,MACET
1,46.0,3800000.0,4.0,1130000.0,100,301,6000.0,1,874,0,2850000.0,950000.0,310000.0,MACET
0,45.0,333333.36,4.0,90833.61,100,301,6000.0,1,874,0,333333.36,333333.36,30000.0,MACET
1,30.0,1590000.0,53.0,34500.0,100,301,6000.0,1,874,0,1590000.0,330000.0,49500.0,MACET
1,46.0,1200000.0,4.0,345000.0,100,301,6000.0,1,874,0,1000000.0,400000.0,90000.0,MACET
0,67.0,875000.0,17.0,54529.78,100,301,6000.0,1,874,0,875000.0,566176.38,33649.0,MACET
0,32.0,1500000.0,5.0,345000.0,100,301,6000.0,1,874,0,690000.0,0.0,0.0,LANCAR
1,42.0,5000000.0,10.0,650000.0,100,301,6000.0,1,874,0,3500000.0,2500000.0,750000.0,MACET
1,46.0,1406250.0,15.0,105000.0,100,301,6000.0,1,874,0,1406250.0,937500.0,112500.0,MACET
0,44.0,1000000.0,3.0,363333.34,100,301,6000.0,1,874,0,1000000.0,333333.33,30000.0,MACET
1,40.0,7000000.0,46.0,173478.41,100,301,6000.0,1,874,0,5170780.54,3496867.39,489992.0,MACET
1,43.0,1000000.0,31.0,11548.6,100,301,6000.0,1,874,0,311500.0,311500.0,46500.0,MACET
0,27.0,1000000.0,21.0,11547.38,100,301,6000.0,1,874,0,209500.0,209500.0,33000.0,MACET
1,43.0,10000000.0,8.0,1550000.0,100,301,6000.0,1,874,0,4950000.0,2450000.0,900000.0,MACET
1,41.0,1500000.0,16.0,87812.53,100,301,6000.0,1,874,0,1213750.0,1213750.0,191250.0,MACET
0,43.0,5000000.0,10.0,775000.0,100,301,6000.0,1,874,0,2000000.0,0.0,0.0,LANCAR
0,41.0,1425000.0,19.0,86250.0,100,301,6000.0,1,874,0,1425000.0,750000.0,112500.0,MACET
1,35.0,1000000.0,13.0,11423.16,100,301,6000.0,1,874,0,129000.0,129000.0,19500.0,MACET
0,43.0,1500000.0,7.0,18535.38,100,301,6000.0,1,874,0,111750.0,111750.0,18000.0,MACET
1,36.0,1500000.0,6.0,86250.0,100,301,6000.0,1,874,0,450000.0,450000.0,67500.0,MACET
1,40.0,10000000.0,8.0,1550000.0,100,301,6000.0,1,874,0,3750000.0,0.0,0.0,LANCAR
0,29.0,16000000.0,48.0,453333.49,100,301,6000.0,1,874,0,9996666.71,1329999.97,480000.0,MACET
0,42.0,10000000.0,24.0,491666.82,100,301,6000.0,1,874,0,2083333.46,1249999.98,225000.0,MACET
1,36.0,675000.0,27.0,26519.23,100,301,6000.0,1,874,0,625000.0,225000.0,13709.0,MACET
1,35.0,2000000.0,100.0,23000.0,100,301,6000.0,1,874,0,1540000.0,1480000.0,222000.0,MACET
0,38.0,1500000.0,5.0,345000.0,100,301,6000.0,1,874,0,300000.0,0.0,0.0,LANCAR
0,43.0,1500000.0,100.0,17250.0,100,301,6000.0,1,874,0,963500.0,918500.0,137250.0,MACET
1,43.0,5000000.0,24.0,245833.41,100,301,6000.0,1,874,0,1041666.73,0.0,0.0,LANCAR
1,34.0,2500000.0,24.0,122916.82,100,301,6000.0,1,874,0,625000.12,104166.66,18750.0,LANCAR
1,32.0,1000000.0,100.0,11500.0,100,301,6000.0,1,874,0,310000.0,260000.0,38500.0,MACET
1,43.0,1500000.0,5.0,345000.0,100,301,6000.0,1,874,0,300000.0,0.0,0.0,LANCAR
1,42.0,5000000.0,24.0,245833.41,100,301,6000.0,1,874,0,2500000.04,416666.66,75000.0,LANCAR
1,41.0,2000000.0,24.0,98333.41,100,301,6000.0,1,874,0,833333.38,0.0,0.0,LANCAR
1,48.0,2500000.0,24.0,122916.82,100,301,6000.0,1,874,0,1457500.0,207499.92,37500.0,LANCAR
1,37.0,1500000.0,100.0,17250.0,100,301,6000.0,1,874,0,860250.0,305250.0,47250.0,MACET
1,31.0,10000000.0,40.0,325000.0,100,301,6000.0,1,874,0,7250000.0,0.0,0.0,LANCAR
0,40.0,10000000.0,144.0,79863.04,100,301,6000.0,1,874,0,7775006.72,1802784.24,270842.0,MACET
1,43.0,1000000.0,12.0,90833.37,100,301,6000.0,1,874,0,333333.36,166666.66,15000.0,LANCAR
1,40.0,1500000.0,20.0,86250.0,100,301,6000.0,1,874,0,750000.0,0.0,0.0,LANCAR
1,44.0,2000000.0,16.0,140000.0,100,301,6000.0,1,874,0,1244000.0,494000.0,60000.0,MACET
0,38.0,1000000.0,12.0,90833.37,100,301,6000.0,1,874,0,250000.03,83333.33,7500.0,LANCAR
1,40.0,1000000.0,12.0,90833.37,100,301,6000.0,1,874,0,666666.68,499999.98,58333.32,MACET
0,35.0,4000000.0,120.0,39333.73,100,301,6000.0,1,874,0,2466666.82,166666.65,30000.0,LANCAR
0,28.0,2000000.0,20.0,115000.0,100,301,6000.0,1,874,0,1100000.0,100000.0,15000.0,LANCAR
1,48.0,2500000.0,24.0,122916.82,100,301,6000.0,1,874,0,2500000.0,1041666.6,187500.0,MACET
1,36.0,4000000.0,24.0,196666.82,100,301,6000.0,1,874,0,2833333.38,499999.98,90000.0,MACET
0,34.0,1500000.0,20.0,86250.0,100,301,6000.0,1,874,0,900000.0,75000.0,11250.0,LANCAR
0,41.0,4000000.0,24.0,196666.82,100,301,6000.0,1,874,0,2500000.06,0.0,0.0,LANCAR
0,43.0,5000000.0,24.0,245833.41,100,301,6000.0,1,874,0,4166666.68,1041666.65,187500.0,MACET
0,37.0,2000000.0,100.0,23000.0,100,301,6000.0,1,874,0,1600000.0,440000.0,66000.0,MACET
1,37.0,2000000.0,24.0,98333.41,100,301,6000.0,1,874,0,1500000.02,249999.99,45000.0,MACET
1,41.0,1000000.0,12.0,90833.37,100,301,6000.0,1,874,0,666666.68,416666.65,37500.0,MACET
